TelemetryCycle,OnBoardTime,ReceivedPackets,GeneralStatus,Debug1,Debug2
2226,1335985,265,16973825,0,0
2227,1336585,266,16842753,0,0
2228,1337185,267,16842753,0,0
2229,1337785,267,16842753,0,0
2230,1338385,268,16842753,0,0
2231,1338985,268,16842753,0,0
2232,1339585,269,16842753,0,0
2233,1340185,270,16842753,0,0
2234,1340785,270,16842753,0,0
2235,1341385,271,16842753,0,0
2236,1341985,271,16842753,0,0
2237,1342585,272,16842753,0,0
2238,1343185,273,16842753,0,0
2239,1343785,273,16842753,0,0
2240,1344385,274,16842753,0,0
2241,1344985,274,16842753,0,0
2242,1345585,275,16842753,0,0
2243,1346185,276,16842753,0,0
2244,1346785,276,16842753,0,0
2245,1347385,277,16842753,0,0
2246,1347985,277,16842753,0,0
2247,1348585,278,16842753,0,0
2248,1349185,279,16842753,0,0
2249,1349785,279,16842753,0,0
2250,1350385,280,16842753,0,0
2251,1350985,280,16842753,0,0
2252,1351585,281,16842753,0,0
2253,1352185,282,16842753,0,0
2254,1352785,282,16842753,0,0
2255,1353385,283,16842753,0,0
2256,1353985,283,16842753,0,0
2257,1354585,284,16842753,0,0
2258,1355185,285,16842753,0,0
2259,1355785,285,16842753,0,0
2260,1356385,286,16842753,0,0
2261,1356985,286,16842753,0,0
2262,1357585,287,16842753,0,0
2263,1358185,288,16842753,0,0
2264,1358785,288,16842753,0,0
2265,1359385,289,16842753,0,0
2266,1359985,289,16842753,0,0
2267,1360585,290,16842753,0,0
2268,1361185,291,16842753,0,0
2269,1361785,291,16842753,0,0
2270,1362385,292,16842753,0,0
2271,1362985,292,16842753,0,0
2272,1363585,293,16842753,0,0
2273,1364185,293,16842753,0,0
2274,1364785,294,16842753,0,0
2275,1365385,295,16842753,0,0
2276,1365985,295,16842753,0,0
2277,1366585,296,16842753,0,0
2278,1367185,296,16842753,0,0
2279,1367785,297,16842753,0,0
2280,1368385,297,16842753,0,0
2281,1368985,297,16842753,0,0
2282,1369585,297,16842753,0,0
2283,1370185,297,16842753,0,0
2284,1370785,297,16842753,0,0
2285,1371385,297,16842753,0,0
2286,1371985,297,16842753,0,0
2287,1372585,297,16842753,0,0
2288,1373185,297,16842753,0,0
2289,1373785,298,16842753,0,0
2290,1374385,299,16842753,0,0
2291,1374985,299,16842753,0,0
2292,1375585,300,16842753,0,0
2293,1376185,300,16842753,0,0
2294,1376785,301,16842753,0,0
2295,1377385,302,16842753,0,0
2296,1377985,302,16842753,0,0
2297,1378585,303,16842753,0,0
2298,1379185,303,16842753,0,0
2299,1379785,304,16842753,0,0
2300,1380385,305,16842753,0,0
2301,1380985,305,16842753,0,0
2302,1381585,306,16842753,0,0
2303,1382185,306,16842753,0,0
2304,1382785,307,16842753,0,0
2305,1383385,308,16842753,0,0
2306,1383985,308,16842753,0,0
2307,1384585,309,16842753,0,0
2308,1385185,309,16842753,0,0
2309,1385785,310,16842753,0,0
2310,1386385,311,16842753,0,0
2311,1386985,311,16842753,0,0
2312,1387585,312,16842753,0,0
2313,1388185,312,16842753,0,0
2314,1388785,313,16842753,0,0
2315,1389385,314,16842753,0,0
2316,1389985,314,16842753,0,0
2317,1390585,315,16842753,0,0
2318,1391185,315,16842753,0,0
2319,1391785,316,16842753,0,0
2320,1392385,317,16842753,0,0
2321,1392985,317,16842753,0,0
2322,1393585,318,16842753,0,0
2323,1394185,318,16842753,0,0
2324,1394785,319,16842753,0,0
2325,1395385,320,16842753,0,0
2326,1395985,320,16842753,0,0
2327,1396585,321,16842753,0,0
2328,1397185,321,16842753,0,0
2329,1397785,322,16842753,0,0
2330,1398385,323,16842753,0,0
2331,1398985,323,16842753,0,0
2332,1399585,324,16842753,0,0
2333,1400185,324,16842753,0,0
2334,1400785,325,16842753,0,0
2335,1401385,326,16842753,0,0
2336,1401985,326,16842753,0,0
2337,1402585,327,16842753,0,0
2338,1403185,327,16842753,0,0
2339,1403785,328,16842753,0,0
2340,1404385,329,16842753,0,0
2341,1404985,329,16842753,0,0
